,negative,neutral,positive,sentiment,reach,freq,freq_n,reach_n,color
muchas,0.10909090909090909,0.38181818181818183,0.509090909090909,0.39999999999999997,51973,55,4.443292193599263,1.0361418682606796,green
europa,0.13157894736842105,0.39473684210526316,0.47368421052631576,0.3421052631578947,42397,38,1.1591197026780686,0.8419109049362674,green
holaargentina,0.08379888268156424,0.5698324022346368,0.3463687150837989,0.26256983240223464,42771,179,28.398432715612685,0.8494967842473921,green
holacolombia,0.13432835820895522,0.47761194029850745,0.3880597014925373,0.2537313432835821,69248,201,32.648538292098934,1.3865324166555435,green
argentina,0.1116751269035533,0.5431472081218274,0.34517766497461927,0.23350253807106597,69474,197,31.87579182364689,1.391116397201838,green
destinos,0.121875,0.54375,0.334375,0.21249999999999997,69243,320,55.6377457285473,1.3864310011567318,green
suerte,0.12844036697247707,0.5321100917431193,0.3394495412844037,0.21100917431192662,71600,327,56.99005204833838,1.4342382672966272,green
deseadme,0.12140575079872204,0.5463258785942492,0.33226837060702874,0.2108626198083067,62085,313,54.28543940875622,1.2412445730577195,green
click,0.12063492063492064,0.5492063492063493,0.33015873015873015,0.2095238095238095,67542,315,54.671812642982246,1.351929448460948,green
europeos,0.12063492063492064,0.5492063492063493,0.33015873015873015,0.2095238095238095,67542,315,54.671812642982246,1.351929448460948,green
mejor,0.14814814814814814,0.50997150997151,0.3418803418803419,0.19373219373219375,277674,351,61.62653085905065,5.614057767726337,green
viajar,0.22807017543859648,0.3508771929824561,0.42105263157894735,0.19298245614035087,127777,57,4.829665427825286,2.573681962647034,green
destino,0.15606936416184972,0.523121387283237,0.3208092485549133,0.16473988439306356,94258,346,60.660597773485605,1.8938127417123047,green
precio,0.1588235294117647,0.5235294117647059,0.3176470588235294,0.1588235294117647,109585,340,59.50147807080753,2.204691811770081,green
gracias,0.26644736842105265,0.3256578947368421,0.40789473684210525,0.1414473684210526,719458,304,52.546759854739115,14.574806713143218,green
hola,0.21717171717171718,0.5117845117845118,0.27104377104377103,0.05387205387205385,356603,594,108.57087881751244,7.214982548870083,green
solo,0.23846153846153847,0.48205128205128206,0.2794871794871795,0.04102564102564102,111373,390,69.1608089264581,2.2409579941451905,green
anos,0.36764705882352944,0.29411764705882354,0.3382352941176471,-0.02941176470588236,283001,68,6.954718216068412,5.722105840160458,red
quiero,0.30434782608695654,0.43478260869565216,0.2608695652173913,-0.043478260869565244,21907,46,2.70461263958216,0.42631019080539817,red
nuevo,0.38235294117647056,0.3235294117647059,0.29411764705882354,-0.08823529411764702,141913,34,0.3863732342260226,2.860403860887833,red
viaje,0.48717948717948717,0.19230769230769232,0.32051282051282054,-0.16666666666666663,466672,78,8.886584387198527,9.447523056613893,red
buenos,0.3829787234042553,0.40425531914893614,0.2127659574468085,-0.1702127659574468,24852,47,2.8977992566951714,0.4860439196055646,red
volar,0.5,0.17307692307692307,0.3269230769230769,-0.17307692307692307,164706,52,3.8637323422602297,3.32271655377143,red
buen,0.4251968503937008,0.33858267716535434,0.23622047244094488,-0.18897637795275593,253280,127,18.35272862573609,5.119271832123192,red
espana,0.47058823529411764,0.27450980392156865,0.2549019607843137,-0.21568627450980393,158777,51,3.670545725147218,3.2024580552803648,red
bueno,0.4444444444444444,0.3333333333333333,0.2222222222222222,-0.2222222222222222,201965,63,5.988785130503356,4.078444567817407,red
via,0.4891304347826087,0.26811594202898553,0.2427536231884058,-0.2463768115942029,1312895,276,47.13753457557479,26.611548586822114,red
primer,0.5510204081632653,0.16326530612244897,0.2857142857142857,-0.26530612244897955,58422,49,3.2841724909211956,1.1669475786281747,red
madrid,0.46496815286624205,0.35668789808917195,0.17834394904458598,-0.2866242038216561,601243,157,24.14832713912643,12.17704007473518,red
siempre,0.5769230769230769,0.1346153846153846,0.28846153846153844,-0.28846153846153844,48005,52,3.8637323422602297,0.9556585284036131,red
ustedes,0.5833333333333334,0.1388888888888889,0.2777777777777778,-0.3055555555555556,13665,36,0.7727464684520461,0.2591368825639817,red
navidad,0.5,0.3157894736842105,0.18421052631578946,-0.3157894736842105,21690,38,1.1591197026780686,0.4219087581569649,red
