,negative,neutral,positive,sentiment,reach,freq,freq_n,reach_n,color
aires,0.0,0.0,1.0,1.0,1289,4,2.4561485380389865,0.12371752679121388,green
friday,0.0,0.0,1.0,1.0,393,2,0.0,0.03622667911565932,green
poder,0.0,0.0,1.0,1.0,35,2,0.0,0.0012693984595783586,green
black,0.0,0.0,1.0,1.0,393,2,0.0,0.03622667911565932,green
cuenta,0.0,0.0,1.0,1.0,939,2,0.0,0.08954141441795038,green
londres,0.0,0.0,1.0,1.0,2584,2,0.0,0.25016914257228884,green
viajar,0.0,0.18181818181818182,0.8181818181818182,0.8181818181818182,3258,11,11.05266842117544,0.31598257039965916,green
ruta,0.0,0.4,0.6,0.6,512161,5,3.68422280705848,50.00834289923085,green
manera,0.0,0.5,0.5,0.5,2754,2,0.0,0.2667689685821597,green
oferta,0.0,0.6,0.4,0.4,216036,5,3.68422280705848,21.092910680566124,green
volar,0.125,0.375,0.5,0.375,12789,8,7.368445614116959,1.2466469333413002,green
nueva,0.16666666666666666,0.3333333333333333,0.5,0.33333333333333337,512287,6,4.912297076077972,50.020646299685225,green
lanza,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,4289,3,1.228074269019493,0.4166556328477582,green
ofertas,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,720,3,1.228074269019493,0.06815693267582264,green
nuevo,0.0,0.75,0.25,0.25,1335,4,2.4561485380389865,0.12820924441741421,green
euros,0.25,0.25,0.5,0.25,222087,4,2.4561485380389865,21.683766840482175,green
via,0.32,0.16,0.52,0.2,19004,25,28.245708187448344,1.853517043055108,green
espana,0.05555555555555555,0.7222222222222222,0.2222222222222222,0.16666666666666666,3181,18,19.649188304311892,0.30846382567754116,green
navidad,0.5,0.0,0.5,0.0,107,2,0.0,0.008299913004935423,green
italia,0.5,0.0,0.5,0.0,1259,2,0.0,0.12078814573064844,green
cost,0.5,0.0,0.5,0.0,2483,2,0.0,0.24030689300171854,green
diciembre,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,44224,3,1.228074269019493,4.316150054637124,green
enero,0.0,1.0,0.0,0.0,10996,2,0.0,1.071567591954839,green
destino,0.5,0.0,0.5,0.0,1466,2,0.0,0.14100087504855002,green
manana,0.0,1.0,0.0,0.0,251,2,0.0,0.02236094209564955,green
cambio,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,11496,3,1.228074269019493,1.12039060963093,green
billetes,0.4,0.2,0.4,0.0,220616,5,3.68422280705848,21.540129522479113,green
puede,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,6614,7,6.140371345097466,0.64368266504158,green
bien,0.5,0.0,0.5,0.0,3060,4,2.4561485380389865,0.29664865539992724,green
aviones,0.5,0.0,0.5,0.0,985,2,0.0,0.09403313204415072,green
semana,0.5,0.0,0.5,0.0,491,2,0.0,0.04579599058017309,green
cambiar,0.5,0.0,0.5,0.0,7311,2,0.0,0.7117419516820506,green
tarjeta,0.0,1.0,0.0,0.0,740,3,1.228074269019493,0.07010985338286627,green
tener,0.5,0.0,0.5,0.0,1643,4,2.4561485380389865,0.15828422330588612,green
viajes,0.5,0.0,0.5,0.0,2060,2,0.0,0.19900262004774577,green
travelthursday,0.2222222222222222,0.6,0.17777777777777778,-0.044444444444444425,46698,45,52.80719356783821,4.557726346098421,red
