,negative,neutral,positive,sentiment,reach,freq,freq_n,reach_n,color
muchas,0.0,0.0,1.0,1.0,30,1,22.131238242779684,1.3535118916599633,green
asi,0.0,0.5,0.5,0.5,522,2,44.26247648555937,23.551106914883363,green
asiento,0.0,0.5,0.5,0.5,522,2,44.26247648555937,23.551106914883363,green
gracias,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,6346,3,66.39371472833905,286.3128821491376,green
buen,0.0,1.0,0.0,0.0,5927,1,22.131238242779684,267.4088327289534,green
dos,0.0,1.0,0.0,0.0,15541,5,110.65619121389841,701.1642769429163,green
informacion,0.0,1.0,0.0,0.0,5927,1,22.131238242779684,267.4088327289534,green
malaga,0.0,1.0,0.0,0.0,221,1,22.131238242779684,9.970870935228396,green
despues,0.0,1.0,0.0,0.0,10813,2,44.26247648555937,487.85080281730615,green
manera,0.0,1.0,0.0,0.0,5858,1,22.131238242779684,264.29575537813554,green
noticias,0.0,1.0,0.0,0.0,4955,1,22.131238242779684,223.5550474391706,green
numero,0.0,1.0,0.0,0.0,85,1,22.131238242779684,3.8349503597032295,green
pagina,0.0,1.0,0.0,0.0,497,3,66.39371472833905,22.423180338500057,green
plus,0.0,1.0,0.0,0.0,8400,1,22.131238242779684,378.9833296647898,green
buenos,0.0,1.0,0.0,0.0,5927,1,22.131238242779684,267.4088327289534,green
feliz,0.0,1.0,0.0,0.0,8400,1,22.131238242779684,378.9833296647898,green
acabo,0.0,1.0,0.0,0.0,409,1,22.131238242779684,18.452878789630834,green
bueno,0.0,1.0,0.0,0.0,5927,1,22.131238242779684,267.4088327289534,green
viajes,0.0,1.0,0.0,0.0,8400,1,22.131238242779684,378.9833296647898,green
saber,0.0,1.0,0.0,0.0,50,1,22.131238242779684,2.2558531527666057,green
tarjeta,0.0,1.0,0.0,0.0,8400,1,22.131238242779684,378.9833296647898,green
asientos,0.0,1.0,0.0,0.0,409,1,22.131238242779684,18.452878789630834,green
pueden,0.0,1.0,0.0,0.0,1084,1,22.131238242779684,48.90689635198001,green
tiempo,0.0,1.0,0.0,0.0,221,1,22.131238242779684,9.970870935228396,green
