airline_sentiment,is_reply,reply_count,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
positive,FALSE,0,0,"""Los pilotos de Ryanair desconvocan la huelga tras ver reconocidos sus sindicatos"" by El País via Últimas noticias… https://t.co/80Fz6dxP9t",,Mon Dec 18 13:07:04 +0000 2017,942743012337123328,,Dublin
positive,TRUE,0,0,"@Iberia @lavecinarubia Si ,por favor las declaraciones de amor entre los  #rubijarena no  pueden quedarse en una ma… https://t.co/GWKJGhhubY",,Sat Nov 04 17:05:11 +0000 2017,926857871916183553,,
neutral,TRUE,0,0,@Iberia Me dirías por favor que costo tiene?,,Sat Dec 02 15:24:09 +0000 2017,936979305720090626,,
negative,TRUE,0,0,"@SupermanlopezN @Iberia @giroditalia Champion, no vuele más con esos descarados.",,Thu Dec 21 23:17:43 +0000 2017,943983853802328064,,Central Time (US & Canada)
negative,TRUE,0,0,@SrtaFarrellDM @KLM @Iberia Eso de avianca es verdad a mi mama le paso dos veces terrible esa aerolínea 😤,,Wed Dec 06 00:44:25 +0000 2017,938207464457211904,,Eastern Time (US & Canada)
neutral,TRUE,0,0,"@Iberia hola, no conozco mi numéro IBERIA PLUS, ellos pueden ayudar? mail ackerm@gmx.de - (tengo el código PIN); gracias",,Fri Nov 17 14:17:37 +0000 2017,931526746301714435,,
neutral,FALSE,0,0,"El canal Smithsonian reconstruye en video el accidente aereo de Spanair en Barajas, el masmortifero en España en 25… https://t.co/DwDDLA8wT9",,Wed Nov 22 17:24:47 +0000 2017,933385784228532233,,
positive,FALSE,0,0,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/z7mnq6ue9X",,Tue Nov 21 06:22:35 +0000 2017,932856751099142144,,
negative,TRUE,0,0,"@facua Pueden ayudarme con una maleta perdida por iberia? por favor, no hacen nada por buscarla y el telefono de reclamacion es un 901",,Mon Nov 06 19:47:38 +0000 2017,927623530585509889,,
neutral,FALSE,0,0,RT @muchachino: En el sistema de entretenimiento de @iberia se pueden favoritear contenidos lo cuál es útil para h… https://t.co/922T9wNxEW,,Wed Nov 15 08:49:20 +0000 2017,930719355704430592,,Karachi
negative,FALSE,0,0,"Menos mal que no soy @paugasol @Iberia... mejor hacer pedagogía y hacer entender que pagando un poco más, todos pod… https://t.co/kQLifzfwn2",,Tue Dec 05 18:40:37 +0000 2017,938115911084593153,,Pacific Time (US & Canada)
negative,FALSE,0,0,"Amigos de @Iberia menudos impresentables, despues de un dia volando,vuelvo a casa por navidad y me perdeis la malet… https://t.co/QwRcgEBwrM",,Sun Dec 24 10:53:19 +0000 2017,944883680970969088,,Pacific Time (US & Canada)
