tweet_id,airline_sentiment,is_reply,text,tweet_created,day_of_month,day_of_week,day_of_year,text_length,emojis
942743012337123328,positive,False,"""Los pilotos de Ryanair desconvocan la huelga tras ver reconocidos sus sindicatos"" by El País via Últimas noticias… https://t.co/80Fz6dxP9t",Mon Dec 18 13:07:04 +0000 2017,18,0,352,139,
926857871916183553,positive,True,"@Iberia @lavecinarubia Si ,por favor las declaraciones de amor entre los  #rubijarena no  pueden quedarse en una ma… https://t.co/GWKJGhhubY",Sat Nov 04 17:05:11 +0000 2017,4,5,308,140,
936979305720090626,neutral,True,@Iberia Me dirías por favor que costo tiene?,Sat Dec 02 15:24:09 +0000 2017,2,5,336,44,
943983853802328064,negative,True,"@SupermanlopezN @Iberia @giroditalia Champion, no vuele más con esos descarados.",Thu Dec 21 23:17:43 +0000 2017,21,3,355,80,
938207464457211904,negative,True,@SrtaFarrellDM @KLM @Iberia Eso de avianca es verdad a mi mama le paso dos veces terrible esa aerolínea 😤,Wed Dec 06 00:44:25 +0000 2017,6,2,340,106,😤
931526746301714435,neutral,True,"@Iberia hola, no conozco mi numéro IBERIA PLUS, ellos pueden ayudar? mail ackerm@gmx.de - (tengo el código PIN); gracias",Fri Nov 17 14:17:37 +0000 2017,17,4,321,120,
933385784228532233,neutral,False,"El canal Smithsonian reconstruye en video el accidente aereo de Spanair en Barajas, el masmortifero en España en 25… https://t.co/DwDDLA8wT9",Wed Nov 22 17:24:47 +0000 2017,22,2,326,140,
932856751099142144,positive,False,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/z7mnq6ue9X",Tue Nov 21 06:22:35 +0000 2017,21,1,325,139,
927623530585509889,negative,True,"@facua Pueden ayudarme con una maleta perdida por iberia? por favor, no hacen nada por buscarla y el telefono de reclamacion es un 901",Mon Nov 06 19:47:38 +0000 2017,6,0,310,134,
930719355704430592,neutral,False,RT @muchachino: En el sistema de entretenimiento de @iberia se pueden favoritear contenidos lo cuál es útil para h… https://t.co/922T9wNxEW,Wed Nov 15 08:49:20 +0000 2017,15,2,319,139,
938115911084593153,negative,False,"Menos mal que no soy @paugasol @Iberia... mejor hacer pedagogía y hacer entender que pagando un poco más, todos pod… https://t.co/kQLifzfwn2",Tue Dec 05 18:40:37 +0000 2017,5,1,339,140,
944883680970969088,negative,False,"Amigos de @Iberia menudos impresentables, despues de un dia volando,vuelvo a casa por navidad y me perdeis la malet… https://t.co/QwRcgEBwrM",Sun Dec 24 10:53:19 +0000 2017,24,6,358,140,
937549230994051073,positive,False,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/FW3TfPhiFa",Mon Dec 04 05:08:50 +0000 2017,4,0,338,139,
941081978807431169,neutral,False,"Mariana Díez, directora de marketing de Quilosa-Selena Iberia https://t.co/F8n1Y1mROj",Wed Dec 13 23:06:42 +0000 2017,13,2,347,85,
933352064910012416,neutral,True,@Iberia A350!? Los van a usar en la ruta a EZE?,Wed Nov 22 15:10:47 +0000 2017,22,2,326,47,
941598213106229248,positive,False,Ryanair reconocerá a los sindicatos por primera vez en su historia https://t.co/UdEJZqBUeZ vía @CapitalRadioB,Fri Dec 15 09:18:02 +0000 2017,15,4,349,109,
923921122495787008,negative,False,"Se habla de la leche que se está pegando el Sabadell. Pero la de IAG (Iberia) es aún mayor, eh.
(-6,35%)
https://t.co/DtIsIf3Xkj",Fri Oct 27 14:35:35 +0000 2017,27,4,300,128,
931611760829792256,neutral,False,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/KlQ0gqBp56",Fri Nov 17 19:55:26 +0000 2017,17,4,321,140,
943844779976208384,neutral,False,Oferta de #empleo #TCP: @Iberia busca auxiliares de vuelo este #diciembre en #Madrid y #Barcelona… https://t.co/81VdhSjOMa,Thu Dec 21 14:05:05 +0000 2017,21,3,355,122,
941121849366368258,positive,False,"Iberia ampliará oferta de asientos a México, Argentina y Colombia https://t.co/1rKYoj1R0b #Turismo #México",Thu Dec 14 01:45:08 +0000 2017,14,3,348,106,
942150441445548032,neutral,False,Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡… https://t.co/p2JWMAXzLN,Sat Dec 16 21:52:24 +0000 2017,16,5,350,140,
941436315547127809,neutral,True,@Iberia @TIBURONSANZ A ver cómo llega......,Thu Dec 14 22:34:43 +0000 2017,14,3,348,43,
